perfil;red_social;tweets_post_totales;tweets_post_diarios;seguidores_fans_totales;seguidores_fans_diarios;fecha
Castilla y León Exterior;FACEBOOK;1427;2;631;0;2019-07-16
Castilla y León Exterior;FACEBOOK;1417;2;629;1;2019-07-09
Castilla y León Exterior;FACEBOOK;1398;3;626;1;2019-06-28
Castilla y León Exterior;FACEBOOK;1386;2;623;1;2019-06-20
Castilla y León Exterior;FACEBOOK;1370;1;618;1;2019-06-09
Castilla y León Exterior;FACEBOOK;1354;1;615;1;2019-05-29
Castilla y León Exterior;FACEBOOK;1353;1;614;1;2019-05-28
Castilla y León Exterior;FACEBOOK;1335;3;612;2;2019-05-14
Castilla y León Exterior;FACEBOOK;1316;1;608;0;2019-05-05
Castilla y León Exterior;FACEBOOK;1275;1;592;0;2019-04-14
Castilla y León Exterior;FACEBOOK;1238;2;573;6;2019-03-23
Castilla y León Exterior;FACEBOOK;1219;2;564;1;2019-03-11
Castilla y León Exterior;FACEBOOK;1212;2;561;1;2019-03-07
Castilla y León Exterior;FACEBOOK;1184;2;549;1;2019-02-16
Castilla y León Exterior;FACEBOOK;1164;1;541;0;2019-02-02
Castilla y León Exterior;FACEBOOK;1161;1;539;2;2019-01-31
Castilla y León Exterior;FACEBOOK;1146;3;535;0;2019-01-21
Castilla y León Exterior;FACEBOOK;1119;3;530;0;2019-01-02
Castilla y León Exterior;FACEBOOK;1116;2;530;0;2019-01-01
Castilla y León Exterior;FACEBOOK;1114;4;530;0;2018-12-31
Castilla y León Exterior;FACEBOOK;1098;3;527;0;2018-12-22
Castilla y León Exterior;FACEBOOK;1086;3;527;0;2018-12-18
Castilla y León Exterior;FACEBOOK;1081;0;525;2;2018-12-16
Castilla y León Exterior;FACEBOOK;1067;1;523;0;2018-12-05
Castilla y León Exterior;FACEBOOK;1061;1;523;0;2018-12-01
Castilla y León Exterior;FACEBOOK;1056;2;522;0;2018-11-26
Castilla y León Exterior;FACEBOOK;1053;2;522;1;2018-11-24
Castilla y León Exterior;FACEBOOK;1049;1;520;0;2018-11-21
Castilla y León Exterior;FACEBOOK;1026;1;516;2;2018-11-04
Castilla y León Exterior;FACEBOOK;1004;2;509;1;2018-10-18
Castilla y León Exterior;FACEBOOK;1000;1;508;0;2018-10-15
Castilla y León Exterior;FACEBOOK;983;2;507;0;2018-10-04
Castilla y León Exterior;FACEBOOK;956;1;492;2;2018-09-15
Castilla y León Exterior;FACEBOOK;953;2;488;1;2018-09-13
Castilla y León Exterior;FACEBOOK;947;2;469;0;2018-08-29
Castilla y León Exterior;FACEBOOK;945;2;446;0;2018-08-14
Castilla y León Exterior;FACEBOOK;943;0;446;0;2018-08-11
Castilla y León Exterior;FACEBOOK;943;1;446;0;2018-08-06
Castilla y León Exterior;FACEBOOK;937;2;445;0;2018-07-24
Castilla y León Exterior;FACEBOOK;884;1;423;1;2018-06-23
Castilla y León Exterior;FACEBOOK;863;0;420;-1;2018-06-10
Castilla y León Exterior;FACEBOOK;845;2;419;0;2018-05-31
Castilla y León Exterior;FACEBOOK;833;2;417;1;2018-05-24
Castilla y León Exterior;FACEBOOK;813;1;410;1;2018-05-13
Castilla y León Exterior;FACEBOOK;808;2;408;0;2018-05-10
Castilla y León Exterior;FACEBOOK;806;2;408;1;2018-05-09
Castilla y León Exterior;FACEBOOK;799;1;406;-1;2018-05-06
Castilla y León Exterior;FACEBOOK;776;0;399;1;2018-04-19
Castilla y León Exterior;FACEBOOK;735;1;392;0;2018-03-20
Castilla y León Exterior;FACEBOOK;727;4;391;0;2018-03-15
Castilla y León Exterior;FACEBOOK;676;2;383;1;2018-02-19
Castilla y León Exterior;FACEBOOK;668;0;381;0;2018-02-13
Castilla y León Exterior;FACEBOOK;666;3;381;1;2018-02-10
Castilla y León Exterior;FACEBOOK;657;2;380;0;2018-02-05
Castilla y León Exterior;FACEBOOK;654;1;380;0;2018-02-02
Castilla y León Exterior;FACEBOOK;646;1;379;1;2018-01-24
