Provincia;Localidad;Dirección;Nombre comercial;Número de Registro de Turismo de Castilla y León;Tipología;Recoger;Envío;Teléfono;Correo electrónico;Pagina web;Observaciones;Ubicación
Burgos;Burgos;Avda. de la Industria, 10;Las Terrazas;09/529;restaurante;Sí;no;609208433;info@lasterrazashotel.com;;Menú del día, bocadillos, raciones, platos combinados, pizzas, hamburguesas, sandwiches, ensaladas, revueltos, tortillas. Reservas por teléfono: 947 270 205 Horario: 7:00-22:00;42.36434, -3.7117
Zamora;Zamora;Avenida Ronda de la Feria, 23;Crepería Media Luna;49/688;restaurante;Sí;no;980988579;Creperiamedialuna@gmail.com;;Puedes disfrutar nuestros desayunos completos, crepes salados, dulces, gofres, batidos naturales y muchas cositas. Todo con elaboración propia.;41.507226, -5.747637
Valladolid;Valladolid;Plaza del Milenio, 1;Rioluz Gastronomía;47/987;restaurante;Sí;sí;983303699 (ext.2);info@grupomoga.com;http://www.mogaencasa.com;En la web mogaencasa.com, seleccionar Cachopos y Celiacos Rioluz para ver la carta. La oferta gastronómica cuenta con una variada selección de cachopos, ensaladas, arroces, platos de carne y pescados frescos y postres caseros.;41.648963, -4.735113
Valladolid;Laguna de Duero;Avda Madrid, 16;Telepizza;47/1161;restaurante;Sí;sí;983100999;tienda0784@telepizza.es;http://www.telepizza.es;Horario atencion al público 13 a 16 y de 18.30 a 23.30 horas.;41.583517, -4.719482
Burgos;Rubena;Ctra. Madrid-Irún, Km 249;Ciudad de Burgos;09/810;restaurante;Sí;no;947431041;hotel@hotelciudaddeburgos.com;https://www.hotelciudaddeburgos.com;Bocadillos, bocadillos Gourmet con pan recién hecho. Pizzas, raciones para compartir (nachos, alitas, croquetas, embutidos, etc). TAMBIÉN COMIDA POR ENCARGO (paella de bogavante, cordero, pescados).;42.381269, -3.584027
Valladolid;Valladolid;Plaza de los Arces, 5;La Mafia se Sienta a la Mesa;47/503;restaurante;Sí;sí;983346229;VALLADOLID@LAMAFIA.ES;http://www.mogaencasa.com;Cucina & Passione mezclando cocina italiana clásica con platos mediterráneos.;41.654116, -4.726929
Zamora;Zamora;C/ Juan II, 21;Antojo;49/573;restaurante;Sí;no;980040014;posangel@outlook.es;http://www.barantojo.com;Ofrecemos comida tradicional, arroces y todas las especialidades de nuestro Burger Gourmet.;41.51095, -5.740184
Segovia;Segovia;Avda. Padre Claret, 16;Asador Maribel;40/226;restaurante;Sí;no;921441141;asadormaribelsegovia@gmail.com;http://www.restaurantemaribel.es;Platos de referencia: Cochinillo asado de Segovia, Cordero lechal especial de Sacramenia asados en horno de leña, además de una cocina clásica castellana con productos de primerísima calidad y con platos más de actualidad. Reserva por teléfono y horario de 13,00hrs a 23,00hrs.;40.94849, -4.114568
León;León;Avda. Los Cubos, 6;Q´H Centro León;24/396;cafetería;Sí;sí;987875580;info@qhhoteles.com;https://www.hotelqhcentroleon.com;Comida tradicional y hamburguesas Gourmet. entrega a domicilio gratis a partir de 13€. Pedidos por teléfono al 987875580. Los martes no disponemos de servicio de entrega a domicilio.;42.600384, -5.566529
Salamanca;Guijuelo;C/ Filiberto Villalobos, 126;Álvarez;37/53;restaurante;Sí;no;630767967;aalvarezbernardo@gmail.com;;Comida tradicional. Menú del día de lunes a viernes, con tres primeros y tres segundos para elegir. Los fines de semana disonemos de arroces variados, nuestros clásicos y todo tipo de encargos. Las reservas se realizan por teléfono. Y los horarios de recogida se acuerdan con el cliente al efectuar el encargo.;40.560079, -5.672287
